ts,x,y,z,qw,qx,qy,qz
1403636580838555648,-1.671420,-4.732270,0.748477,0.315288,-0.684642,-0.486932,-0.441312
1403636580843555328,-1.671357,-4.732111,0.752491,0.315172,-0.684317,-0.486669,-0.442188
1403636580848555520,-1.671291,-4.731944,0.756525,0.315038,-0.683982,-0.486406,-0.443090
1403636580853555456,-1.671221,-4.731776,0.760575,0.314873,-0.683634,-0.486152,-0.444023
1403636580858555648,-1.671147,-4.731607,0.764633,0.314676,-0.683284,-0.485899,-0.444976
1403636580863555328,-1.671073,-4.731441,0.768691,0.314467,-0.682941,-0.485638,-0.445935
1403636580868555520,-1.671001,-4.731280,0.772748,0.314251,-0.682603,-0.485369,-0.446895
1403636580873555456,-1.670936,-4.731122,0.776798,0.314036,-0.682267,-0.485104,-0.447848
1403636580878555648,-1.670877,-4.730967,0.780841,0.313825,-0.681926,-0.484845,-0.448794
1403636580883555328,-1.670829,-4.730817,0.784873,0.313618,-0.681582,-0.484595,-0.449731
1403636580888555520,-1.670792,-4.730667,0.788896,0.313424,-0.681234,-0.484353,-0.450653
1403636580893555456,-1.670766,-4.730520,0.792913,0.313247,-0.680888,-0.484112,-0.451557
1403636580898555392,-1.670756,-4.730372,0.796924,0.313102,-0.680548,-0.483863,-0.452436
1403636580903555328,-1.670759,-4.730219,0.800931,0.312997,-0.680209,-0.483610,-0.453287
1403636580908555520,-1.670776,-4.730063,0.804937,0.312940,-0.679878,-0.483351,-0.454099
1403636580913555456,-1.670807,-4.729899,0.808943,0.312941,-0.679550,-0.483084,-0.454874
1403636580918555392,-1.670848,-4.729731,0.812949,0.312996,-0.679221,-0.482810,-0.455616
1403636580923555584,-1.670899,-4.729556,0.816952,0.313090,-0.678889,-0.482537,-0.456336
1403636580928555520,-1.670957,-4.729379,0.820951,0.313217,-0.678542,-0.482271,-0.457046
1403636580933555712,-1.671025,-4.729202,0.824941,0.313365,-0.678184,-0.482012,-0.457748
1403636580938555392,-1.671100,-4.729025,0.828917,0.313516,-0.677825,-0.481763,-0.458437
1403636580943555584,-1.671180,-4.728854,0.832874,0.313675,-0.677457,-0.481530,-0.459117
1403636580948555520,-1.671267,-4.728690,0.836811,0.313840,-0.677076,-0.481315,-0.459792
1403636580953555456,-1.671358,-4.728534,0.840729,0.313996,-0.676683,-0.481129,-0.460457
1403636580958555392,-1.671450,-4.728387,0.844627,0.314134,-0.676283,-0.480972,-0.461114
1403636580963555584,-1.671543,-4.728250,0.848502,0.314248,-0.675875,-0.480844,-0.461769
1403636580968555520,-1.671633,-4.728121,0.852355,0.314349,-0.675464,-0.480731,-0.462419
1403636580973555456,-1.671722,-4.727996,0.856184,0.314467,-0.675052,-0.480619,-0.463056
1403636580978555392,-1.671811,-4.727876,0.859990,0.314625,-0.674647,-0.480495,-0.463667
1403636580983555584,-1.671903,-4.727759,0.863768,0.314830,-0.674254,-0.480358,-0.464241
1403636580988555520,-1.672001,-4.727642,0.867520,0.315085,-0.673860,-0.480218,-0.464785
1403636580993555456,-1.672106,-4.727524,0.871241,0.315379,-0.673464,-0.480076,-0.465305
1403636580998555392,-1.672219,-4.727404,0.874933,0.315707,-0.673080,-0.479929,-0.465790
1403636581003555584,-1.672339,-4.727284,0.878596,0.316068,-0.672717,-0.479770,-0.466233
1403636581008555520,-1.672464,-4.727165,0.882230,0.316460,-0.672385,-0.479585,-0.466637
1403636581013555456,-1.672595,-4.727046,0.885832,0.316883,-0.672088,-0.479365,-0.467003
1403636581018555392,-1.672727,-4.726925,0.889408,0.317338,-0.671826,-0.479103,-0.467341
1403636581023555584,-1.672862,-4.726803,0.892961,0.317822,-0.671578,-0.478805,-0.467672
1403636581028555520,-1.672996,-4.726681,0.896495,0.318325,-0.671324,-0.478494,-0.468014
1403636581033555456,-1.673131,-4.726560,0.900013,0.318819,-0.671049,-0.478198,-0.468374
1403636581038555392,-1.673261,-4.726445,0.903517,0.319288,-0.670746,-0.477935,-0.468758
1403636581043555584,-1.673383,-4.726335,0.907003,0.319714,-0.670411,-0.477718,-0.469167
1403636581048555520,-1.673496,-4.726233,0.910471,0.320088,-0.670058,-0.477547,-0.469589
1403636581053555456,-1.673598,-4.726141,0.913921,0.320421,-0.669707,-0.477400,-0.470013
1403636581058555648,-1.673687,-4.726057,0.917351,0.320724,-0.669356,-0.477264,-0.470444
1403636581063555584,-1.673765,-4.725981,0.920762,0.321000,-0.669007,-0.477133,-0.470885
1403636581068555520,-1.673835,-4.725912,0.924152,0.321256,-0.668658,-0.477010,-0.471331
1403636581073555456,-1.673898,-4.725846,0.927521,0.321513,-0.668300,-0.476886,-0.471788
1403636581078555648,-1.673955,-4.725783,0.930868,0.321772,-0.667946,-0.476742,-0.472258
1403636581083555584,-1.674007,-4.725721,0.934187,0.322038,-0.667617,-0.476565,-0.472720
1403636581088555520,-1.673576,-4.725065,0.937584,0.322327,-0.667325,-0.476338,-0.473165
1403636581093555456,-1.673596,-4.724965,0.940848,0.322652,-0.667085,-0.476041,-0.473581
1403636581098555648,-1.673615,-4.724863,0.944082,0.323013,-0.666895,-0.475666,-0.473978
1403636581103555328,-1.673633,-4.724758,0.947285,0.323411,-0.666736,-0.475220,-0.474378
1403636581108555520,-1.673650,-4.724650,0.950461,0.323843,-0.666597,-0.474710,-0.474789
1403636581113555456,-1.673667,-4.724541,0.953611,0.324296,-0.666469,-0.474146,-0.475223
1403636581118555648,-1.673684,-4.724432,0.956732,0.324766,-0.666338,-0.473558,-0.475672
1403636581123555328,-1.673702,-4.724324,0.959824,0.325253,-0.666200,-0.472966,-0.476121
1403636581128555520,-1.673721,-4.724222,0.962885,0.325750,-0.666049,-0.472382,-0.476572
1403636581133555456,-1.673740,-4.724128,0.965918,0.326254,-0.665882,-0.471818,-0.477019
1403636581138555648,-1.673758,-4.724045,0.968924,0.326761,-0.665695,-0.471280,-0.477465
1403636581143555328,-1.673773,-4.723976,0.971904,0.327263,-0.665479,-0.470782,-0.477913
1403636581148555520,-1.673784,-4.723923,0.974856,0.327745,-0.665231,-0.470334,-0.478368
1403636581153555456,-1.673789,-4.723884,0.977783,0.328210,-0.664948,-0.469940,-0.478830
1403636581158555392,-1.673787,-4.723860,0.980680,0.328656,-0.664635,-0.469600,-0.479293
1403636581163555328,-1.673778,-4.723847,0.983546,0.329089,-0.664302,-0.469295,-0.479756
1403636581168555520,-1.673761,-4.723846,0.986380,0.329519,-0.663959,-0.469001,-0.480223
1403636581173555712,-1.673737,-4.723856,0.989180,0.329949,-0.663616,-0.468698,-0.480698
1403636581178555392,-1.673708,-4.723877,0.991945,0.330377,-0.663276,-0.468380,-0.481182
1403636581183555584,-1.673451,-4.723647,0.994712,0.330803,-0.662944,-0.468038,-0.481680
1403636581188555520,-1.673391,-4.723656,0.997408,0.331228,-0.662628,-0.467664,-0.482185
1403636581193555712,-1.673331,-4.723671,1.000063,0.331650,-0.662341,-0.467248,-0.482692
1403636581198555392,-1.673272,-4.723689,1.002680,0.332077,-0.662089,-0.466783,-0.483194
1403636581203555584,-1.673217,-4.723709,1.005258,0.332519,-0.661862,-0.466268,-0.483698
1403636581208555520,-1.673166,-4.723730,1.007802,0.332989,-0.661647,-0.465710,-0.484206
1403636581213555456,-1.673122,-4.723751,1.010315,0.333493,-0.661439,-0.465113,-0.484717
1403636581218555392,-1.673085,-4.723775,1.012796,0.334040,-0.661221,-0.464485,-0.485240
1403636581223555584,-1.673054,-4.723803,1.015248,0.334620,-0.660979,-0.463854,-0.485773
1403636581228555520,-1.673027,-4.723842,1.017668,0.335202,-0.660716,-0.463248,-0.486308
1403636581233555456,-1.673003,-4.723892,1.020052,0.335772,-0.660437,-0.462680,-0.486834
1403636581238555392,-1.672902,-4.723875,1.022404,0.336325,-0.660145,-0.462158,-0.487343
1403636581243555584,-1.672869,-4.723939,1.024710,0.336855,-0.659839,-0.461693,-0.487832
1403636581248555520,-1.672841,-4.724019,1.026974,0.337365,-0.659510,-0.461291,-0.488305
